idCanton;CanName;canCode
;Argovie;AG
;Appenzell Rhodes int_rieures ;AI
;Appenzell Rhodes ext_rieures ;AR
;Berne;BE
;Bale Campagne;BL 
;Bale Ville;BS
;Fribourg;FR 
;Genève;GE
;Glaris;GL 
; Grisons;GR
;Jura;JU
;Lucerne;LU
;Neuchatel;NE
;Nidwald;NW 
;Obwald;OW
; Saint-Gall;SG
;Schaffhouse ;SH
;Soleure;SO
;Schwyz;SZ
;Thurgovie;TG
;Tessin;TI
;Uri;UR
;Vaud;VD
;Valais;VS
;Zug;ZG
;Zurich;ZH
